timestamp,value,measurement_type,axis,axis_label
2024-06-03 23:48:31+00:00,0.177162304520607,acceleration,x,axial
2024-06-03 23:48:31+00:00,0.11000421643257141,acceleration,y,horizontal
2024-06-03 23:48:31+00:00,0.16949893534183502,acceleration,z,vertical
2024-06-03 23:58:31+00:00,0.1097550243139267,acceleration,x,axial
2024-06-03 23:58:31+00:00,0.09516862779855728,acceleration,y,horizontal
2024-06-03 23:58:31+00:00,0.11778904497623444,acceleration,z,vertical
2024-06-04 00:08:31+00:00,0.10482000559568405,acceleration,x,axial
2024-06-04 00:08:31+00:00,0.09694644063711166,acceleration,y,horizontal
2024-06-04 00:08:31+00:00,0.12022590637207031,acceleration,z,vertical
2024-06-04 00:18:31+00:00,0.18885356187820435,acceleration,x,axial
2024-06-04 00:18:31+00:00,0.1184622049331665,acceleration,y,horizontal
2024-06-04 00:18:31+00:00,0.18787312507629395,acceleration,z,vertical
2024-06-04 00:28:31+00:00,0.0062314230017364025,acceleration,x,axial
2024-06-04 00:28:31+00:00,0.005559124052524567,acceleration,y,horizontal
2024-06-04 00:28:31+00:00,0.008257590234279633,acceleration,z,vertical
2024-06-04 00:38:31+00:00,0.006142504513263702,acceleration,x,axial
2024-06-04 00:38:31+00:00,0.005973902530968189,acceleration,y,horizontal
2024-06-04 00:38:31+00:00,0.008562779054045677,acceleration,z,vertical
2024-06-04 00:48:31+00:00,0.006113662850111723,acceleration,x,axial
2024-06-04 00:48:31+00:00,0.005641107447445393,acceleration,y,horizontal
2024-06-04 00:48:31+00:00,0.008541122078895569,acceleration,z,vertical
2024-06-04 00:58:31+00:00,0.005980314686894417,acceleration,x,axial
2024-06-04 00:58:31+00:00,0.005769481882452965,acceleration,y,horizontal
2024-06-04 00:58:31+00:00,0.00816049799323082,acceleration,z,vertical
2024-06-04 01:08:31+00:00,0.006296627223491669,acceleration,x,axial
2024-06-04 01:08:31+00:00,0.00571027584373951,acceleration,y,horizontal
2024-06-04 01:08:31+00:00,0.008169867098331451,acceleration,z,vertical
2024-06-04 01:18:31+00:00,0.0063807228580117226,acceleration,x,axial
